星期      星期 1      星期2      星期3      星期4      星期5
第一节      数学分析      近现代史      综合英语      数学分析      电路实验
第二节      数学分析      近现代史      综合英语      数学分析      电路实验
第三节      Python      大学物理      数据结构      数学分析      电路实验
第四节      Python      大学物理      数据结构      数学分析      电路实验
第五节      数据结构      电子电路      XXXXXX      体育基础      电子电路
第六节      数据结构      电子电路      XXXXXX      体育基础      电子电路
第七节      综合英语      电子电路      XXXXXX      近现代史      形势与政策
第八节      综合英语      XXXXXX      XXXXXX      近现代史      形势与政策
第九节      XXXXXX      XXXXXX      XXXXXX      XXXXXX      XXXXXX
第十节      XXXXXX      大物解题法      XXXXXX      高数解题法      XXXXXX
第十一节      XXXXXX      大物解题法      XXXXXX      高数解题法      XXXXXX
